[2023-11-19 18:29:55.383] [CUBE_ENGINE] [info] Initialized Log.
[2023-11-19 18:29:55.403] [CUBE_ENGINE] [info] Window was shown.
[2023-11-19 18:30:10.460] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_diff.tga
[2023-11-19 18:30:10.467] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_spec.tga
[2023-11-19 18:30:10.475] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_ddn.tga
[2023-11-19 18:30:10.482] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_diff.tga
[2023-11-19 18:30:10.490] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_spec.tga
[2023-11-19 18:30:10.497] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_ddn.tga
[2023-11-19 18:30:10.505] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_diff.tga
[2023-11-19 18:30:10.512] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_spec.tga
[2023-11-19 18:30:10.521] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_ddn.tga
[2023-11-19 18:30:10.528] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_diff.tga
[2023-11-19 18:30:10.536] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_spec.tga
[2023-11-19 18:30:10.544] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_ddn.tga
[2023-11-19 18:30:10.552] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_diff.tga
[2023-11-19 18:30:10.560] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_spec.tga
[2023-11-19 18:30:10.567] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_ddn.tga
[2023-11-19 18:30:10.575] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_diff.tga
[2023-11-19 18:30:10.583] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_spec.tga
[2023-11-19 18:30:10.593] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_column_c_ddn.tga
[2023-11-19 18:30:10.601] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_diff.tga
[2023-11-19 18:30:10.606] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_spec.tga
[2023-11-19 18:30:10.614] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_ddn.tga
[2023-11-19 18:30:10.622] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_diff.tga
[2023-11-19 18:30:10.629] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_spec.tga
[2023-11-19 18:30:10.678] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_diff.tga
[2023-11-19 18:30:10.683] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_spec.tga
[2023-11-19 18:30:10.691] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\spnza_bricks_a_ddn.tga
[2023-11-19 18:30:10.699] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
[2023-11-19 18:30:10.706] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_spec.tga
[2023-11-19 18:30:10.714] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_diff.tga
[2023-11-19 18:30:10.722] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_ceiling_a_spec.tga
[2023-11-19 18:30:10.730] [APP] [trace] Successfully loaded texture C:\Users\user999\Desktop\MyCubeProject\models\sponza\textures\sponza_arch_diff.tga
